"n","p","percent_missing","mean_ISE","median_ISE","SD_ISE","IQR_ISE","mean_b"
100,0.95,6.33,0.1484,0.14,0.0771,0.0723,0.2142
100,0.9,11.95,0.152,0.1448,0.0844,0.0804,0.2228
100,0.8,22.02,0.159,0.1512,0.0841,0.0741,0.2289
100,0.6,41.09,0.207,0.1925,0.1309,0.092,0.2517
200,0.95,6.16,0.1087,0.0997,0.0485,0.066,0.1741
200,0.9,11.93,0.1099,0.1016,0.048,0.0637,0.1776
200,0.8,22.22,0.1176,0.1098,0.0531,0.0715,0.1842
200,0.6,40.98,0.1453,0.1434,0.062,0.0841,0.2105
400,0.95,6.16,0.0743,0.0684,0.0316,0.0405,0.1249
400,0.9,11.87,0.0774,0.071,0.0343,0.0468,0.1281
400,0.8,22.2,0.0855,0.0807,0.0345,0.044,0.1388
400,0.6,41,0.1049,0.1001,0.0439,0.0589,0.1555
800,0.95,6.16,0.0547,0.0506,0.0214,0.0271,0.1002
800,0.9,11.88,0.0573,0.0547,0.0223,0.0291,0.1031
800,0.8,22.22,0.0618,0.0586,0.0244,0.0305,0.1072
800,0.6,41.02,0.0763,0.074,0.0308,0.0409,0.1186
